iter	Passed	Remaining
0	8	1724
1	15	1501
2	21	1429
3	28	1419
4	34	1362
5	41	1349
6	49	1355
7	55	1333
8	62	1328
9	68	1305
10	75	1305
11	82	1288
12	88	1276
13	95	1272
14	102	1264
15	110	1266
16	117	1267
17	123	1251
18	131	1249
19	138	1248
20	145	1239
21	150	1218
22	157	1215
23	164	1209
24	172	1207
25	178	1192
26	183	1177
27	189	1164
28	194	1147
29	199	1131
30	207	1129
31	216	1137
32	224	1136
33	232	1132
34	238	1123
35	244	1112
36	249	1101
37	254	1085
38	259	1070
39	263	1055
40	269	1043
41	274	1031
42	279	1020
43	284	1008
44	288	995
45	293	983
46	298	970
47	302	957
48	306	945
49	310	931
50	315	923
51	320	910
52	324	900
53	327	885
54	330	870
55	333	857
56	337	846
57	340	834
58	345	824
59	349	816
60	354	807
61	358	797
62	362	789
63	367	780
64	371	771
65	377	766
66	384	762
67	389	755
68	393	747
69	398	739
70	402	730
71	406	723
72	411	715
73	415	707
74	419	699
75	422	689
76	425	679
77	427	669
78	431	660
79	434	652
80	438	644
81	443	637
82	447	630
83	452	624
84	457	619
85	461	612
86	466	605
87	474	604
88	481	600
89	487	595
90	492	589
91	496	582
92	502	577
93	507	572
94	513	568
95	518	562
96	523	556
97	526	548
98	529	540
99	533	533
100	536	525
101	540	519
102	544	512
103	549	506
104	554	502
105	559	495
106	563	489
107	567	483
108	573	479
109	578	473
110	584	468
111	588	462
112	595	458
113	601	453
114	606	448
115	611	442
116	616	437
117	621	431
118	624	425
119	628	419
120	631	412
121	634	405
122	637	399
123	640	392
124	645	387
125	649	381
126	653	375
127	658	370
128	665	366
129	671	361
130	676	356
131	682	351
132	686	345
133	691	340
134	695	335
135	699	329
136	703	323
137	707	317
138	711	312
139	715	306
140	717	300
141	720	294
142	723	288
143	726	282
144	729	276
145	733	271
146	737	265
147	742	260
148	747	255
149	751	250
150	754	244
151	759	239
152	763	234
153	768	229
154	773	224
155	777	219
156	782	214
157	786	209
158	790	203
159	795	198
160	800	193
161	804	188
162	808	183
163	812	178
164	817	173
165	820	168
166	824	162
167	827	157
168	830	152
169	833	147
170	837	141
171	840	136
172	844	131
173	848	126
174	852	121
175	856	116
176	860	111
177	864	106
178	868	101
179	873	97
180	876	92
181	880	87
182	884	82
183	888	77
184	892	72
185	896	67
186	901	62
187	907	57
188	911	53
189	916	48
190	920	43
191	923	38
192	926	33
193	929	28
194	932	23
195	935	19
196	938	14
197	942	9
198	948	4
199	953	0
