repo,commit,file,buggy,loc,avg_complexity,maintainability
fastapi,32b375c5e445efb1efd129d825016bec8dbfb08a,scripts/docs.py,0,533,0,0
fastapi,be5a6311f5ad542f253f48ca95cd863026b67c05,scripts/docs.py,0,430,0,0
fastapi,325fd16d32fd815633d6caf3d0d75aa7f30c51c9,fastapi/__init__.py,0,25,0,0
fastapi,85701631a0241c5f02b4940734a5428f66abe167,fastapi/dependencies/utils.py,0,1024,0,0
fastapi,85701631a0241c5f02b4940734a5428f66abe167,fastapi/params.py,0,774,0,0
fastapi,85701631a0241c5f02b4940734a5428f66abe167,tests/test_depends_hashable.py,0,25,0,0
fastapi,df83eb7278edf036612dc1b4c33c02415123d6a7,tests/test_tutorial/test_sql_databases/test_tutorial001.py,1,375,0,0
fastapi,df83eb7278edf036612dc1b4c33c02415123d6a7,tests/test_tutorial/test_sql_databases/test_tutorial002.py,1,483,0,0
fastapi,994d6cc912ecb160e1495132bcd347f4511708bc,scripts/docs.py,0,444,0,0
fastapi,02e108d1663149faac4156dd23595cbdf74287c2,fastapi/__init__.py,0,25,0,0
fastapi,5d40dfbc9bc1df1c7801acc53857ec7a072b7697,fastapi/_compat/v2.py,1,479,0,0
fastapi,5d40dfbc9bc1df1c7801acc53857ec7a072b7697,tests/test_schema_ref_pydantic_v2.py,1,72,0,0
fastapi,1c7e2540c22ba5e81250cc715d82db31e52a63d6,fastapi/__init__.py,0,25,0,0
fastapi,282f372eda661c865fa1208bd0371bf47d190b2a,fastapi/dependencies/utils.py,1,1023,0,0
fastapi,282f372eda661c865fa1208bd0371bf47d190b2a,tests/test_dependency_yield_scope.py,1,246,0,0
fastapi,4efae81a76b809998c12fc0f7e1c172f451cb304,fastapi/__init__.py,0,25,0,0
fastapi,ac438b99342c859ae0e10f7064021125bd247bf5,docs_src/dependencies/tutorial008e.py,0,15,0,0
fastapi,ac438b99342c859ae0e10f7064021125bd247bf5,docs_src/dependencies/tutorial008e_an.py,0,16,0,0
fastapi,ac438b99342c859ae0e10f7064021125bd247bf5,docs_src/dependencies/tutorial008e_an_py39.py,0,17,0,0
fastapi,ac438b99342c859ae0e10f7064021125bd247bf5,fastapi/dependencies/models.py,0,83,0,0
fastapi,ac438b99342c859ae0e10f7064021125bd247bf5,fastapi/dependencies/utils.py,0,1020,0,0
fastapi,ac438b99342c859ae0e10f7064021125bd247bf5,fastapi/exceptions.py,0,184,0,0
fastapi,ac438b99342c859ae0e10f7064021125bd247bf5,fastapi/param_functions.py,0,2381,0,0
fastapi,ac438b99342c859ae0e10f7064021125bd247bf5,fastapi/params.py,0,774,0,0
fastapi,ac438b99342c859ae0e10f7064021125bd247bf5,fastapi/routing.py,0,4523,0,0
fastapi,ac438b99342c859ae0e10f7064021125bd247bf5,fastapi/types.py,0,11,0,0
fastapi,ac438b99342c859ae0e10f7064021125bd247bf5,tests/test_dependency_yield_scope.py,0,184,0,0
fastapi,ac438b99342c859ae0e10f7064021125bd247bf5,tests/test_dependency_yield_scope_websockets.py,0,201,0,0
fastapi,ac438b99342c859ae0e10f7064021125bd247bf5,tests/test_tutorial/test_dependencies/test_tutorial008e.py,0,27,0,0
fastapi,fad35ef43fdde74845b416cd2dc795ff489e9719,fastapi/__init__.py,0,25,0,0
fastapi,496de1816aa01a59c75a7dcd27fd3c6245fa255a,fastapi/dependencies/utils.py,1,1022,0,0
fastapi,496de1816aa01a59c75a7dcd27fd3c6245fa255a,tests/test_top_level_security_scheme_in_openapi.py,1,60,0,0
fastapi,2cf04ee30db9df2db04a5b1e0d2c625dfbf1a211,fastapi/__init__.py,0,25,0,0
fastapi,dcfb8b9dda7b8117141b89e84527b48f978e0b31,fastapi/dependencies/utils.py,0,1024,0,0
fastapi,dcfb8b9dda7b8117141b89e84527b48f978e0b31,tests/test_dependency_paramless.py,0,78,0,0
fastapi,bb88a0f94a9633b861f90f6752e397980a7cfea9,fastapi/dependencies/utils.py,0,1037,0,0
fastapi,c144f9fbd356e7e378a6b42cff68cf4a4667111a,fastapi/dependencies/utils.py,0,1052,0,0
fastapi,c144f9fbd356e7e378a6b42cff68cf4a4667111a,fastapi/params.py,0,773,0,0
fastapi,c144f9fbd356e7e378a6b42cff68cf4a4667111a,tests/test_params_repr.py,0,143,0,0
fastapi,22ccca21fc13b7ac138e277490ec4d05b4f5094a,fastapi/__init__.py,0,25,0,0
fastapi,6a657f360db5a666c75ba143e0d923ad05789b1d,fastapi/_compat/v2.py,1,479,0,0
fastapi,6a657f360db5a666c75ba143e0d923ad05789b1d,tests/test_no_schema_split.py,1,203,0,0
fastapi,6a657f360db5a666c75ba143e0d923ad05789b1d,tests/test_pydantic_v1_v2_multifile/test_multifile.py,1,1226,0,0
fastapi,78c94c3f565b9b992d1eecafaeb0991e2b177d7c,fastapi/__init__.py,0,25,0,0
fastapi,cd40c5b40ffd8ba0c6a6a6c96bbf34ec1cf9c525,fastapi/__init__.py,0,25,0,0
fastapi,d390f2e41fb508de416071d481937bc7be486589,fastapi/applications.py,0,4668,0,0
fastapi,d390f2e41fb508de416071d481937bc7be486589,fastapi/background.py,0,60,0,0
fastapi,d390f2e41fb508de416071d481937bc7be486589,fastapi/datastructures.py,0,204,0,0
fastapi,d390f2e41fb508de416071d481937bc7be486589,fastapi/encoders.py,0,352,0,0
fastapi,d390f2e41fb508de416071d481937bc7be486589,fastapi/exceptions.py,0,177,0,0
fastapi,d390f2e41fb508de416071d481937bc7be486589,fastapi/openapi/docs.py,0,345,0,0
fastapi,d390f2e41fb508de416071d481937bc7be486589,fastapi/param_functions.py,0,2361,0,0
fastapi,d390f2e41fb508de416071d481937bc7be486589,fastapi/routing.py,0,4518,0,0
fastapi,d390f2e41fb508de416071d481937bc7be486589,fastapi/security/api_key.py,0,289,0,0
fastapi,d390f2e41fb508de416071d481937bc7be486589,fastapi/security/http.py,0,424,0,0
fastapi,d390f2e41fb508de416071d481937bc7be486589,fastapi/security/oauth2.py,0,654,0,0
fastapi,d390f2e41fb508de416071d481937bc7be486589,fastapi/security/open_id_connect_url.py,0,85,0,0
fastapi,864b569cf8453654fc3bc2c64108c0f644e2918c,fastapi/__init__.py,0,25,0,0
fastapi,d8c691f7f09989fa51b331b8a7a1ecfe93815a2f,fastapi/_compat/__init__.py,1,50,0,0
fastapi,d8c691f7f09989fa51b331b8a7a1ecfe93815a2f,fastapi/_compat/main.py,1,362,0,0
fastapi,d8c691f7f09989fa51b331b8a7a1ecfe93815a2f,fastapi/_compat/may_v1.py,1,123,0,0
fastapi,d8c691f7f09989fa51b331b8a7a1ecfe93815a2f,fastapi/_compat/shared.py,1,211,0,0
fastapi,d8c691f7f09989fa51b331b8a7a1ecfe93815a2f,fastapi/_compat/v1.py,1,312,0,0
fastapi,d8c691f7f09989fa51b331b8a7a1ecfe93815a2f,fastapi/_compat/v2.py,1,459,0,0
fastapi,d8c691f7f09989fa51b331b8a7a1ecfe93815a2f,fastapi/dependencies/utils.py,1,1052,0,0
fastapi,d8c691f7f09989fa51b331b8a7a1ecfe93815a2f,fastapi/encoders.py,1,351,0,0
fastapi,d8c691f7f09989fa51b331b8a7a1ecfe93815a2f,fastapi/temp_pydantic_v1_params.py,1,724,0,0
fastapi,d8c691f7f09989fa51b331b8a7a1ecfe93815a2f,fastapi/utils.py,1,254,0,0
fastapi,d8c691f7f09989fa51b331b8a7a1ecfe93815a2f,tests/test_compat.py,1,166,0,0
fastapi,d8c691f7f09989fa51b331b8a7a1ecfe93815a2f,tests/test_get_model_definitions_formfeed_escape.py,1,180,0,0
fastapi,d8c691f7f09989fa51b331b8a7a1ecfe93815a2f,tests/test_response_model_as_return_annotation.py,1,1136,0,0
fastapi,dde7bd1ceb4b081165b75c90b2694b98c7dafce3,fastapi/applications.py,0,4667,0,0
fastapi,2e721e1b02186467dc3a7a95dfe45d8e7bd7d0d9,fastapi/__init__.py,0,25,0,0
fastapi,d34918abf00c93ac592c5d1d1c55650d8c1b92ec,docs_src/pydantic_v1_in_v2/tutorial001_an.py,0,9,0,0
fastapi,d34918abf00c93ac592c5d1d1c55650d8c1b92ec,docs_src/pydantic_v1_in_v2/tutorial001_an_py310.py,0,7,0,0
fastapi,d34918abf00c93ac592c5d1d1c55650d8c1b92ec,docs_src/pydantic_v1_in_v2/tutorial002_an.py,0,18,0,0
fastapi,d34918abf00c93ac592c5d1d1c55650d8c1b92ec,docs_src/pydantic_v1_in_v2/tutorial002_an_py310.py,0,16,0,0
fastapi,d34918abf00c93ac592c5d1d1c55650d8c1b92ec,docs_src/pydantic_v1_in_v2/tutorial003_an.py,0,25,0,0
fastapi,d34918abf00c93ac592c5d1d1c55650d8c1b92ec,docs_src/pydantic_v1_in_v2/tutorial003_an_py310.py,0,23,0,0
fastapi,d34918abf00c93ac592c5d1d1c55650d8c1b92ec,docs_src/pydantic_v1_in_v2/tutorial004_an.py,0,20,0,0
fastapi,d34918abf00c93ac592c5d1d1c55650d8c1b92ec,docs_src/pydantic_v1_in_v2/tutorial004_an_py310.py,0,19,0,0
fastapi,d34918abf00c93ac592c5d1d1c55650d8c1b92ec,docs_src/pydantic_v1_in_v2/tutorial004_an_py39.py,0,19,0,0
fastapi,d34918abf00c93ac592c5d1d1c55650d8c1b92ec,fastapi/_compat/__init__.py,0,50,0,0
fastapi,d34918abf00c93ac592c5d1d1c55650d8c1b92ec,fastapi/_compat/main.py,0,305,0,0
fastapi,d34918abf00c93ac592c5d1d1c55650d8c1b92ec,fastapi/_compat/model_field.py,0,53,0,0
fastapi,d34918abf00c93ac592c5d1d1c55650d8c1b92ec,fastapi/_compat/shared.py,0,209,0,0
fastapi,d34918abf00c93ac592c5d1d1c55650d8c1b92ec,fastapi/_compat/v1.py,0,334,0,0
fastapi,d34918abf00c93ac592c5d1d1c55650d8c1b92ec,fastapi/_compat/v2.py,0,459,0,0
fastapi,d34918abf00c93ac592c5d1d1c55650d8c1b92ec,fastapi/datastructures.py,0,203,0,0
fastapi,d34918abf00c93ac592c5d1d1c55650d8c1b92ec,fastapi/dependencies/utils.py,0,1051,0,0
fastapi,d34918abf00c93ac592c5d1d1c55650d8c1b92ec,fastapi/encoders.py,0,351,0,0
fastapi,d34918abf00c93ac592c5d1d1c55650d8c1b92ec,fastapi/openapi/utils.py,0,558,0,0
fastapi,d34918abf00c93ac592c5d1d1c55650d8c1b92ec,fastapi/routing.py,0,4517,0,0
fastapi,d34918abf00c93ac592c5d1d1c55650d8c1b92ec,fastapi/temp_pydantic_v1_params.py,0,724,0,0
fastapi,d34918abf00c93ac592c5d1d1c55650d8c1b92ec,fastapi/utils.py,0,247,0,0
fastapi,d34918abf00c93ac592c5d1d1c55650d8c1b92ec,tests/test_compat.py,0,158,0,0
fastapi,d34918abf00c93ac592c5d1d1c55650d8c1b92ec,tests/test_compat_params_v1.py,0,1122,0,0
fastapi,d34918abf00c93ac592c5d1d1c55650d8c1b92ec,tests/test_get_model_definitions_formfeed_escape.py,0,179,0,0
fastapi,d34918abf00c93ac592c5d1d1c55650d8c1b92ec,tests/test_openapi_separate_input_output_schemas.py,0,529,0,0
fastapi,d34918abf00c93ac592c5d1d1c55650d8c1b92ec,tests/test_pydantic_v1_v2_01.py,0,475,0,0
fastapi,d34918abf00c93ac592c5d1d1c55650d8c1b92ec,tests/test_pydantic_v1_v2_list.py,0,701,0,0
fastapi,d34918abf00c93ac592c5d1d1c55650d8c1b92ec,tests/test_pydantic_v1_v2_mixed.py,0,1499,0,0
