repo,commit,file,buggy,loc,avg_complexity,maintainability
flask,96a01e420b741c59af59301f15612fde39bfb39d,src/flask/sessions.py,0,399,0,0
flask,da6d075dfde71b2e2a64f39b29ba957d5ffb00b0,src/flask/sessions.py,0,399,0,0
flask,70d04b5a2620705011e65f79ccfd52caa86f5d6a,src/flask/app.py,1,1591,0,0
flask,70d04b5a2620705011e65f79ccfd52caa86f5d6a,src/flask/ctx.py,1,516,0,0
flask,70d04b5a2620705011e65f79ccfd52caa86f5d6a,src/flask/templating.py,1,211,0,0
flask,70d04b5a2620705011e65f79ccfd52caa86f5d6a,tests/test_reqctx.py,1,326,0,0
flask,70d04b5a2620705011e65f79ccfd52caa86f5d6a,tests/test_subclassing.py,1,21,0,0
flask,6a64969009bf1898bd302e6a9633f71942523f7f,src/flask/app.py,1,1591,0,0
flask,6a64969009bf1898bd302e6a9633f71942523f7f,src/flask/ctx.py,1,516,0,0
flask,6a64969009bf1898bd302e6a9633f71942523f7f,src/flask/templating.py,1,211,0,0
flask,6a64969009bf1898bd302e6a9633f71942523f7f,tests/test_reqctx.py,1,326,0,0
flask,6a64969009bf1898bd302e6a9633f71942523f7f,tests/test_subclassing.py,1,21,0,0
flask,adf363679da2d9a5ddc564bb2da563c7ca083916,src/flask/app.py,0,1500,0,0
flask,adf363679da2d9a5ddc564bb2da563c7ca083916,src/flask/cli.py,0,1127,0,0
flask,adf363679da2d9a5ddc564bb2da563c7ca083916,src/flask/ctx.py,0,516,0,0
flask,adf363679da2d9a5ddc564bb2da563c7ca083916,src/flask/debughelpers.py,0,179,0,0
flask,adf363679da2d9a5ddc564bb2da563c7ca083916,src/flask/globals.py,0,77,0,0
flask,adf363679da2d9a5ddc564bb2da563c7ca083916,src/flask/helpers.py,0,635,0,0
flask,adf363679da2d9a5ddc564bb2da563c7ca083916,src/flask/json/__init__.py,0,170,0,0
flask,adf363679da2d9a5ddc564bb2da563c7ca083916,src/flask/sansio/app.py,0,1006,0,0
flask,adf363679da2d9a5ddc564bb2da563c7ca083916,src/flask/sansio/scaffold.py,0,792,0,0
flask,adf363679da2d9a5ddc564bb2da563c7ca083916,src/flask/templating.py,0,213,0,0
flask,adf363679da2d9a5ddc564bb2da563c7ca083916,src/flask/testing.py,0,298,0,0
flask,adf363679da2d9a5ddc564bb2da563c7ca083916,tests/conftest.py,0,129,0,0
flask,adf363679da2d9a5ddc564bb2da563c7ca083916,tests/test_appctx.py,0,210,0,0
flask,adf363679da2d9a5ddc564bb2da563c7ca083916,tests/test_reqctx.py,0,325,0,0
flask,adf363679da2d9a5ddc564bb2da563c7ca083916,tests/test_session_interface.py,0,28,0,0
flask,adf363679da2d9a5ddc564bb2da563c7ca083916,tests/test_testing.py,0,385,0,0
flask,c2705ffd9ce1dc8476cb29eaf5ff5d4c719852d9,src/flask/app.py,0,1500,0,0
flask,c2705ffd9ce1dc8476cb29eaf5ff5d4c719852d9,src/flask/cli.py,0,1127,0,0
flask,c2705ffd9ce1dc8476cb29eaf5ff5d4c719852d9,src/flask/ctx.py,0,516,0,0
flask,c2705ffd9ce1dc8476cb29eaf5ff5d4c719852d9,src/flask/debughelpers.py,0,179,0,0
flask,c2705ffd9ce1dc8476cb29eaf5ff5d4c719852d9,src/flask/globals.py,0,77,0,0
flask,c2705ffd9ce1dc8476cb29eaf5ff5d4c719852d9,src/flask/helpers.py,0,635,0,0
flask,c2705ffd9ce1dc8476cb29eaf5ff5d4c719852d9,src/flask/json/__init__.py,0,170,0,0
flask,c2705ffd9ce1dc8476cb29eaf5ff5d4c719852d9,src/flask/sansio/app.py,0,1006,0,0
flask,c2705ffd9ce1dc8476cb29eaf5ff5d4c719852d9,src/flask/sansio/scaffold.py,0,792,0,0
flask,c2705ffd9ce1dc8476cb29eaf5ff5d4c719852d9,src/flask/templating.py,0,213,0,0
flask,c2705ffd9ce1dc8476cb29eaf5ff5d4c719852d9,src/flask/testing.py,0,298,0,0
flask,c2705ffd9ce1dc8476cb29eaf5ff5d4c719852d9,tests/conftest.py,0,129,0,0
flask,c2705ffd9ce1dc8476cb29eaf5ff5d4c719852d9,tests/test_appctx.py,0,210,0,0
flask,c2705ffd9ce1dc8476cb29eaf5ff5d4c719852d9,tests/test_reqctx.py,0,325,0,0
flask,c2705ffd9ce1dc8476cb29eaf5ff5d4c719852d9,tests/test_session_interface.py,0,28,0,0
flask,c2705ffd9ce1dc8476cb29eaf5ff5d4c719852d9,tests/test_testing.py,0,385,0,0
flask,330123258e8c3dc391cbe55ab1ed94891ca83af3,src/flask/helpers.py,0,641,0,0
flask,330123258e8c3dc391cbe55ab1ed94891ca83af3,src/flask/sansio/app.py,0,1012,0,0
flask,330123258e8c3dc391cbe55ab1ed94891ca83af3,src/flask/sansio/blueprints.py,0,692,0,0
flask,330123258e8c3dc391cbe55ab1ed94891ca83af3,src/flask/templating.py,0,219,0,0
flask,330123258e8c3dc391cbe55ab1ed94891ca83af3,src/flask/testing.py,0,298,0,0
flask,330123258e8c3dc391cbe55ab1ed94891ca83af3,tests/test_helpers.py,0,383,0,0
flask,330123258e8c3dc391cbe55ab1ed94891ca83af3,tests/test_testing.py,0,385,0,0
flask,ed1c9e953e2d67c0994e32e6c8d878291e36d4f7,src/flask/sansio/app.py,0,1012,0,0
flask,ed1c9e953e2d67c0994e32e6c8d878291e36d4f7,src/flask/sansio/blueprints.py,0,692,0,0
flask,ed1c9e953e2d67c0994e32e6c8d878291e36d4f7,tests/test_blueprints.py,0,1127,0,0
flask,ed1c9e953e2d67c0994e32e6c8d878291e36d4f7,tests/test_templating.py,0,532,0,0
flask,edebd3704437f19b5b137eaffe97130fe817d144,src/flask/sansio/app.py,0,1012,0,0
flask,edebd3704437f19b5b137eaffe97130fe817d144,src/flask/sansio/blueprints.py,0,692,0,0
flask,daf1510a4bda652ac2cfca03ec5567b03ddf8bf1,src/flask/sansio/app.py,0,1016,0,0
flask,daf1510a4bda652ac2cfca03ec5567b03ddf8bf1,src/flask/sansio/blueprints.py,0,661,0,0
flask,daf1510a4bda652ac2cfca03ec5567b03ddf8bf1,tests/test_blueprints.py,0,1127,0,0
flask,daf1510a4bda652ac2cfca03ec5567b03ddf8bf1,tests/test_templating.py,0,532,0,0
flask,d8259eb11900285af9b80b0fa47f841174c054e3,src/flask/sansio/app.py,0,964,0,0
flask,d8259eb11900285af9b80b0fa47f841174c054e3,src/flask/templating.py,0,219,0,0
flask,38b4c1e19b50494cfcdc9332899e09b7fed34979,src/flask/helpers.py,0,641,0,0
flask,38b4c1e19b50494cfcdc9332899e09b7fed34979,tests/test_helpers.py,0,383,0,0
flask,9822a0351574790cb66c652fcc396ad7aa2b09d8,src/flask/helpers.py,0,641,0,0
flask,9822a0351574790cb66c652fcc396ad7aa2b09d8,tests/test_helpers.py,0,383,0,0
flask,1dfd7cd5555d9e62a2e198a131c366242e724b35,src/flask/helpers.py,0,634,0,0
flask,d44f1c65239c3e33509224aa1931631243dbfa7f,src/flask/helpers.py,0,634,0,0
flask,24824ff666e096c4c07d0b75a889088571afe4a6,src/flask/testing.py,0,298,0,0
flask,24824ff666e096c4c07d0b75a889088571afe4a6,tests/test_testing.py,0,385,0,0
flask,53b8f08218796d95764c5252bccd8a50a173a6fb,src/flask/testing.py,0,298,0,0
flask,53b8f08218796d95764c5252bccd8a50a173a6fb,tests/test_testing.py,0,385,0,0
flask,85c5d93cbd049c4bd0679c36fd1ddcae8c37b642,docs/conf.py,0,101,0,0
flask,85cc71046475f9cb3efd17d496356795961249f9,docs/conf.py,0,101,0,0
flask,211cce038ab6354a15a76b2c7f98fa98bfc9e6a3,docs/conf.py,0,101,0,0
flask,a7b67c99f922f26b1071a90994e14261dc0a6df2,docs/conf.py,0,101,0,0
flask,a758915893352f5986c6ee101cdf7e3b7a64fa28,docs/conf.py,0,101,0,0
flask,e9741288637e0d9abe95311247b4842a017f7d5c,src/flask/ctx.py,0,449,0,0
flask,e9741288637e0d9abe95311247b4842a017f7d5c,src/flask/helpers.py,0,634,0,0
flask,e9741288637e0d9abe95311247b4842a017f7d5c,src/flask/sansio/app.py,0,964,0,0
flask,e9741288637e0d9abe95311247b4842a017f7d5c,src/flask/sansio/scaffold.py,0,792,0,0
flask,e9741288637e0d9abe95311247b4842a017f7d5c,src/flask/sessions.py,0,399,0,0
flask,e9741288637e0d9abe95311247b4842a017f7d5c,src/flask/testing.py,0,298,0,0
flask,f04c5e696400badaa52b3450ded53e9091c2078a,src/flask/ctx.py,0,449,0,0
flask,f04c5e696400badaa52b3450ded53e9091c2078a,src/flask/helpers.py,0,634,0,0
flask,f04c5e696400badaa52b3450ded53e9091c2078a,src/flask/sansio/app.py,0,964,0,0
flask,f04c5e696400badaa52b3450ded53e9091c2078a,src/flask/sansio/scaffold.py,0,792,0,0
flask,f04c5e696400badaa52b3450ded53e9091c2078a,src/flask/sessions.py,0,399,0,0
flask,f04c5e696400badaa52b3450ded53e9091c2078a,src/flask/testing.py,0,298,0,0
flask,a5f9742398c9429ef84ac8a57b0f3eb418394d9e,src/flask/cli.py,0,1127,0,0
flask,a5f9742398c9429ef84ac8a57b0f3eb418394d9e,src/flask/json/provider.py,0,215,0,0
flask,a5f9742398c9429ef84ac8a57b0f3eb418394d9e,src/flask/sansio/app.py,0,964,0,0
flask,a5f9742398c9429ef84ac8a57b0f3eb418394d9e,src/flask/typing.py,0,87,0,0
flask,a5f9742398c9429ef84ac8a57b0f3eb418394d9e,tests/test_cli.py,0,702,0,0
flask,52df9eed45d0b19c588662ed8492d8fbaa0e7098,src/flask/cli.py,0,1127,0,0
flask,52df9eed45d0b19c588662ed8492d8fbaa0e7098,src/flask/json/provider.py,0,215,0,0
flask,52df9eed45d0b19c588662ed8492d8fbaa0e7098,src/flask/sansio/app.py,0,964,0,0
flask,52df9eed45d0b19c588662ed8492d8fbaa0e7098,src/flask/typing.py,0,87,0,0
flask,52df9eed45d0b19c588662ed8492d8fbaa0e7098,tests/test_cli.py,0,702,0,0
flask,e7e53807766ef1470bce546716a675ded4b08597,src/flask/sessions.py,0,399,0,0
flask,e7e53807766ef1470bce546716a675ded4b08597,tests/test_basic.py,0,1944,0,0
flask,73d6504063bfa00666a92b07a28aaf906c532f09,src/flask/sessions.py,1,399,0,0
