repo,commit,file,buggy,loc,avg_complexity,maintainability
pytest,ded73ee1721e8361bec4b63c8656d83f06986a42,testing/test_config.py,1,3055,0,0
pytest,9f992b8b61264ef5d010783e0d31b63d859f0071,testing/test_config.py,1,3053,0,0
pytest,c4142aff4ba2ed34ab4ff86ffffb9f9e357fc524,src/_pytest/_code/source.py,1,228,0,0
pytest,c4142aff4ba2ed34ab4ff86ffffb9f9e357fc524,testing/code/test_source.py,1,674,0,0
pytest,66834f362e38e96eb7685e21f46bdb83ba52530b,src/_pytest/config/__init__.py,0,2202,0,0
pytest,66834f362e38e96eb7685e21f46bdb83ba52530b,src/_pytest/terminal.py,0,1763,0,0
pytest,66834f362e38e96eb7685e21f46bdb83ba52530b,src/_pytest/terminalprogress.py,0,30,0,0
pytest,66834f362e38e96eb7685e21f46bdb83ba52530b,testing/test_terminal.py,0,3550,0,0
pytest,beedab9c364e46101d629e2655f00cdb280bdc70,src/_pytest/terminalprogress.py,0,30,0,0
pytest,beedab9c364e46101d629e2655f00cdb280bdc70,testing/test_terminal.py,0,3550,0,0
pytest,6d6ae274f9d5fe50faba7d2a26888c67bc1d1b0b,testing/test_terminal.py,0,3540,0,0
pytest,2ffef56153c0e25330110cc32d046df6d395ad74,src/_pytest/config/__init__.py,1,2202,0,0
pytest,2ffef56153c0e25330110cc32d046df6d395ad74,src/_pytest/terminal.py,1,1763,0,0
pytest,2ffef56153c0e25330110cc32d046df6d395ad74,src/_pytest/terminalprogress.py,1,28,0,0
pytest,2ffef56153c0e25330110cc32d046df6d395ad74,testing/test_terminal.py,1,3539,0,0
pytest,6b6502e94b78b41951b70265a84187a419e8ce8c,src/_pytest/fixtures.py,1,2073,0,0
pytest,6b6502e94b78b41951b70265a84187a419e8ce8c,src/_pytest/python.py,1,1737,0,0
pytest,6b6502e94b78b41951b70265a84187a419e8ce8c,testing/python/collect.py,1,1721,0,0
pytest,6b6502e94b78b41951b70265a84187a419e8ce8c,testing/python/metafunc.py,1,2339,0,0
pytest,adcdeb9236d40a0b3a7f25e03ae94e683501cf56,src/_pytest/fixtures.py,1,2073,0,0
pytest,adcdeb9236d40a0b3a7f25e03ae94e683501cf56,testing/python/collect.py,1,1721,0,0
pytest,3aabdca3f301dca9c3574bb4e15226a9387dee61,src/_pytest/fixtures.py,1,2068,0,0
pytest,3aabdca3f301dca9c3574bb4e15226a9387dee61,src/_pytest/python.py,1,1737,0,0
pytest,3c2263613165828421aa482b9d7939bbe3cfa0b9,src/_pytest/python.py,1,1773,0,0
pytest,3c2263613165828421aa482b9d7939bbe3cfa0b9,testing/python/metafunc.py,1,2339,0,0
pytest,b3cd38e2fbfe702be934b54a8e15919441ed3a20,src/_pytest/fixtures.py,1,2028,0,0
pytest,b3cd38e2fbfe702be934b54a8e15919441ed3a20,testing/python/fixtures.py,1,5401,0,0
pytest,088718a43779d36bc43c7daa0bdf253803bf41e4,src/_pytest/fixtures.py,1,2028,0,0
pytest,b1dc3db7614ca8b72126d15dc6f5deddab2e8fc5,src/_pytest/fixtures.py,1,2033,0,0
pytest,b1dc3db7614ca8b72126d15dc6f5deddab2e8fc5,testing/python/fixtures.py,1,5401,0,0
pytest,934a0b1f1385ff1a5391f307f7890562d4921f69,src/_pytest/fixtures.py,1,2029,0,0
pytest,d56b1af5252ceb8578d6751a6b2006e79defbb08,src/_pytest/fixtures.py,1,2033,0,0
pytest,9652bc714d0cae7f849d285aaa9f5a7e42e89ee3,src/_pytest/tmpdir.py,1,315,0,0
pytest,90b9389af0e009bc021990919c54a3aaf3a217ca,src/_pytest/config/__init__.py,0,2201,0,0
pytest,90b9389af0e009bc021990919c54a3aaf3a217ca,src/_pytest/deprecated.py,0,112,0,0
pytest,90b9389af0e009bc021990919c54a3aaf3a217ca,testing/test_config.py,0,3046,0,0
pytest,2e349240751496d474bf4bb7a8f22f7c8a320b69,src/_pytest/tmpdir.py,1,315,0,0
pytest,78e1bd79ea6acffc390f6e898d6a8b7305aaefeb,src/_pytest/config/__init__.py,1,2201,0,0
pytest,78e1bd79ea6acffc390f6e898d6a8b7305aaefeb,src/_pytest/deprecated.py,1,112,0,0
pytest,78e1bd79ea6acffc390f6e898d6a8b7305aaefeb,testing/test_config.py,1,3046,0,0
