repo,commit,file,buggy,loc,avg_complexity,maintainability
requests,b25c87d7cb8d6a18a37fa12442b5f883f9e41741,src/requests/__version__.py,0,14,0,0
requests,2edca11103c1c27dd8b572dab544b7f48cf3b446,setup.py,0,107,0,0
requests,d58d8aa2f45c3575268d6d5250745ef69f9cf8b7,src/requests/sessions.py,0,831,0,0
requests,90fee0876aea97c639b3bf698d83a12876d2f160,src/requests/adapters.py,0,696,0,0
requests,3f07f990ac74f1e1691ba17ef8c14007f05846ab,src/requests/adapters.py,1,719,0,0
requests,821770e822a20a21b207b3907ea83878bda1d396,src/requests/__version__.py,0,14,0,0
requests,5b4b64c3467fd7a3c03f91ee641aaa348b6bed3b,src/requests/utils.py,0,1086,0,0
requests,5b4b64c3467fd7a3c03f91ee641aaa348b6bed3b,tests/test_utils.py,0,977,0,0
requests,7bc45877a86192af77645e156eb3744f95b47dae,tests/test_requests.py,1,3040,0,0
requests,96ba401c1296ab1dda74a2365ef36d88f7d144ef,src/requests/utils.py,0,1093,0,0
requests,7341690e842a23cf18ded0abd9229765fa88c4e2,docs/conf.py,1,386,0,0
requests,a7e1c745dc23c18e836febd672416ed0c5d8d8ae,docs/conf.py,0,386,0,0
requests,c799b8167a13416833ad3b4f3298261a477e826f,docs/conf.py,1,386,0,0
requests,c65c780849563c891f35ffc98d3198b71011c012,tests/test_requests.py,0,3009,0,0
requests,1b7c37ef4e3db003cc52f09da9ab6b947054e245,src/requests/models.py,1,1039,0,0
requests,5d31ddbf7b3f512dd3c61952d2c16e980a2b7dc1,src/requests/models.py,0,1039,0,0
requests,a2fd25ff34b66ef71b54dfc90e09a4e4152357f6,src/requests/models.py,0,1038,0,0
requests,d96f9982a276c73ab078b255c94397cf4d7f6cc2,src/requests/models.py,0,1039,0,0
requests,b653d80ded3680dc3780557ded01e23074f7e6a4,setup.py,1,107,0,0
requests,b653d80ded3680dc3780557ded01e23074f7e6a4,src/requests/compat.py,1,106,0,0
requests,b653d80ded3680dc3780557ded01e23074f7e6a4,src/requests/utils.py,1,1099,0,0
requests,b653d80ded3680dc3780557ded01e23074f7e6a4,tests/test_requests.py,1,2983,0,0
requests,1ae6fc3137a11e11565ed22436aa1e77277ac98c,setup.py,0,107,0,0
requests,f519bbae3346b4bf0ff866e0659b7efbcf016eb1,setup.py,0,107,0,0
requests,314e7c9c701ddbeb6c26ae357a132045709d47f1,setup.py,0,106,0,0
requests,92f10cec5b3223e90c186b7a04306564cde050dc,setup.py,0,106,0,0
