repo,model,accuracy,precision,recall,f1,roc_auc,tn,fp,fn,tp,n_samples,n_positive,n_negative
airflow,Logistic Regression,0.5861824874354074,0.36525458810542294,0.2717938186672143,0.31166843282703405,0.5137018777175837,13915,4600,7092,2647,28254,9739,18515
airflow,Random Forest,0.5499044383096199,0.37256076686066414,0.44696580757778004,0.40638566027167067,0.5363206644543292,11184,7331,5386,4353,28254,9739,18515
airflow,XGBoost,0.6561548807248532,0.5405405405405406,0.01642879145702844,0.03188839063278524,0.5435154064424721,18379,136,9579,160,28254,9739,18515
airflow,LightGBM,0.6561194875061939,0.5614973262032086,0.010781394393674915,0.021156558533145277,0.5424577475347176,18433,82,9634,105,28254,9739,18515
airflow,CatBoost,0.6561194875061939,0.5614973262032086,0.010781394393674915,0.021156558533145277,0.5458341542229506,18433,82,9634,105,28254,9739,18515
django,Logistic Regression,0.5171269408557544,0.6480728258764284,0.3457683166270538,0.45094339622641505,0.5773569740150275,5380,1817,6331,3346,16874,9677,7197
django,Random Forest,0.5379281735213939,0.6195320447609359,0.5034618166787227,0.5554985462630408,0.5655464112768216,4205,2992,4805,4872,16874,9677,7197
django,XGBoost,0.5861680692189167,0.5987681478222613,0.8438565671179085,0.7004932446922583,0.573253090237773,1725,5472,1511,8166,16874,9677,7197
django,LightGBM,0.584923551025246,0.5970799738505121,0.8494368089283869,0.7012455212421089,0.5735485298383587,1650,5547,1457,8220,16874,9677,7197
django,CatBoost,0.5855754415076448,0.6018054923380367,0.8197788570838069,0.6940811059101448,0.5750414862472766,1948,5249,1744,7933,16874,9677,7197
fastapi,Logistic Regression,0.6105919003115264,0.5189003436426117,0.29549902152641877,0.37655860349127185,0.6522735270365035,633,140,360,151,1284,511,773
fastapi,Random Forest,0.6386292834890965,0.5459882583170255,0.5459882583170255,0.5459882583170255,0.6716417343665744,541,232,232,279,1284,511,773
fastapi,XGBoost,0.6651090342679128,0.5971223021582733,0.487279843444227,0.5366379310344827,0.7025149176082207,605,168,262,249,1284,511,773
fastapi,LightGBM,0.6573208722741433,0.5876543209876544,0.4657534246575342,0.519650655021834,0.700230124834495,606,167,273,238,1284,511,773
fastapi,CatBoost,0.6580996884735203,0.5818181818181818,0.5009784735812133,0.5383806519453207,0.7036516178358139,589,184,255,256,1284,511,773
flask,Logistic Regression,0.6234735413839891,0.2646420824295011,0.3609467455621302,0.3053817271589487,0.5530109279939995,797,339,216,122,1474,338,1136
flask,Random Forest,0.6424694708276798,0.2923076923076923,0.39349112426035504,0.3354350567465322,0.5732092257688141,814,322,205,133,1474,338,1136
flask,XGBoost,0.7598371777476255,0.2894736842105263,0.03254437869822485,0.058510638297872335,0.5824339528294025,1109,27,327,11,1474,338,1136
