repo,commit,file,loc,buggy,y_true,y_pred,proba_buggy
scikit-learn,a50c03f975c4bbf306c5af1826f46ba5dc5230a0,examples/plot_changed_only_pprint_parameter.py,30.0,1,1,0,0.3741800555928904
django,9ec8aa5e5d42ac4529846f7eae6bf4982800abff,django/conf/locale/da/formats.py,29.0,1,1,0,0.3741800555928904
airflow,79f8ee14153ce0f4d2a076b3ae1456d8bb7d68f4,tests/utils/test_weight_rule.py,30.0,1,1,0,0.3741800555928904
matplotlib,9dfec01ab80039204bd167f2027b8ab5b7258d44,examples/animation/dynamic_image.py,29.0,1,1,0,0.3741800555928904
airflow,866a601b76e219b3c043e1dbbc8fb22300866351,airflow/contrib/sensors/cassandra_record_sensor.py,29.0,1,1,0,0.3741800555928904
django,90d3af380e8efec0301dd91600c6686232de3943,django/conf/locale/tr/formats.py,30.0,1,1,0,0.3741800555928904
matplotlib,cc7fc7fe235d6e7fac3c4919f47c8064892093e1,examples/pylab_examples/gradient_bar.py,29.0,1,1,0,0.3741800555928904
scikit-learn,5029361defc48317592ba7eca1a89e67499383c2,sklearn/utils/tests/test_fast_dict.py,29.0,1,1,0,0.3741800555928904
airflow,1a1f352479d6dbff21d73d3c51b1e5d5188e00e3,airflow/operators/branch_operator.py,29.0,1,1,0,0.3741800555928904
matplotlib,7722bab29d416a5ce165c0956315222258de7e05,examples/api/font_family_rc.py,30.0,1,1,0,0.3741800555928904
airflow,cd1e9f5a0488ec53b382f1f639d80a3eba8ae307,tests_common/__init__.py,30.0,1,1,0,0.3741800555928904
pandas,5314a5fb181f7eee0248d0ab6af3cd57c1733448,pandas/msgpack/exceptions.py,29.0,1,1,0,0.3741800555928904
airflow,da66c417269683ad0f45ada76c85ebd5cc41a9a4,airflow-core/tests/unit/dags/subdir1/test_explicit_dont_ignore.py,29.0,1,1,0,0.3741800555928904
airflow,36e716a306dac6c65dceda14a640b00470a58396,airflow/api_fastapi/core_api/routes/public/monitor.py,30.0,1,1,0,0.3741800555928904
numpy,82226d816c67a80ff634fd202c1df32865175232,numpy/f2py/tests/test_module_doc.py,30.0,1,1,0,0.3741800555928904
django,aa28c392b9491f02330905cb73b7078b1cd18c60,django/conf/locale/ca/formats.py,30.0,1,1,0,0.3741800555928904
django,f4860448ddad760172b4dde0323140e99d78a55f,tests/regressiontests/forms/localflavor/gb.py,30.0,1,1,0,0.3741800555928904
fastapi,ea43f227e5c7128c09e3e2d5dceea212552b19dc,scripts/playwright/separate_openapi_schemas/image02.py,30.0,1,1,0,0.3741800555928904
matplotlib,28ba3c750dfdf8e6c9bc79a56b2dcf3ad5934639,examples/misc/agg_buffer_to_array.py,30.0,1,1,0,0.3741800555928904
numpy,5ea81775e0d2d13a4fec6bab882002e050bd3da1,numpy/typing/tests/test_isfile.py,30.0,1,1,0,0.3741800555928904
airflow,866a601b76e219b3c043e1dbbc8fb22300866351,airflow/contrib/operators/gcs_to_gcs_transfer_operator.py,30.0,1,1,0,0.3741800555928904
django,f851a954ac605c4a525761a18d2dcbfb6f8deeca,tests/migrations/test_migrations_no_ancestor/0002_second.py,29.0,1,1,0,0.3741800555928904
airflow,25aeb1166e6e8d093892ad3a7b1a341375b0cf51,providers/celery/src/airflow/providers/celery/version_compat.py,30.0,1,1,0,0.3741800555928904
airflow,1a1f352479d6dbff21d73d3c51b1e5d5188e00e3,airflow/models/dagparam.py,29.0,1,1,0,0.3741800555928904
pandas,fa9ce297f1878ecdcb6e136a99855d8692d80ef7,pandas/io/tests/test_data_reader.py,30.0,1,1,0,0.3741800555928904
airflow,1a1f352479d6dbff21d73d3c51b1e5d5188e00e3,airflow/hooks/docker_hook.py,29.0,1,1,0,0.3741800555928904
airflow,857ca4c06c9008593674cabdd28d3c30e3e7f97b,dev/tests_common/__init__.py,30.0,1,1,0,0.3741800555928904
django,7b17350a1bfa527358e722baf962a5f9cfb838ea,tests/migrations/migrations_test_apps/migrated_app/migrations/0001_initial.py,30.0,1,1,0,0.3741800555928904
numpy,7f5cf316337fc199b86d463f054ba97e1dd3ffed,doc/numpybook/comparison/pyrex/setup.py,29.0,1,1,0,0.3741800555928904
matplotlib,cd6ec85cd3ef20205d7f9f80ea833bdba92c036c,lib/matplotlib/backends/tkagg.py,29.0,1,1,0,0.3741800555928904
