feature_set,features,model,seed,train_fraction,n_train,n_test,accuracy,precision,recall,f1,roc_auc
loc_only,loc,RandomForest,42,1.0,559073,139769,0.6424886777468537,0.4451785714285714,0.05051159963529531,0.09072877809116549,0.5431792498078667
loc_only,loc,RandomForest,42,0.3,167721,139769,0.635398407372164,0.4176162611641515,0.08242326005470571,0.13767429267632328,0.5324182072611306
loc_only,loc,RandomForest,7,1.0,559073,139769,0.6429680401233464,0.4495666605200074,0.0493972241920778,0.08901383767205812,0.5433566360845088
loc_only,loc,RandomForest,7,0.3,167721,139769,0.6356631298785854,0.4162035057716973,0.07889778137979941,0.13264975898894585,0.5300442561522235
loc_only,loc,LightGBM,42,1.0,559073,139769,0.6468816404209803,0.0,0.0,0.0,0.5476253394046993
loc_only,loc,LightGBM,42,0.3,167721,139769,0.6468816404209803,0.0,0.0,0.0,0.5459501991152498
loc_only,loc,LightGBM,7,1.0,559073,139769,0.6468816404209803,0.0,0.0,0.0,0.5469647962554859
loc_only,loc,LightGBM,7,0.3,167721,139769,0.6468816404209803,0.0,0.0,0.0,0.5433337921240766
loc_repo,"loc,repo",RandomForest,42,1.0,559073,139769,0.6548447796006267,0.5225513636179439,0.261270388005268,0.34836287011022266,0.6143533203964339
loc_repo,"loc,repo",RandomForest,42,0.3,167721,139769,0.6352052314890999,0.47244360394434687,0.28345659001114376,0.3543252244608508,0.5891954911032659
loc_repo,"loc,repo",RandomForest,7,1.0,559073,139769,0.6544870464838412,0.5214046957432242,0.26232397933340085,0.3490415981452026,0.6145048839230399
loc_repo,"loc,repo",RandomForest,7,0.3,167721,139769,0.6371942276184276,0.47691783157176953,0.28341606726775403,0.3555442587532567,0.5884500605738014
loc_repo,"loc,repo",LightGBM,42,1.0,559073,139769,0.6657556396625861,0.5926524304579939,0.1709451929895654,0.2653520152222799,0.6253450126894868
loc_repo,"loc,repo",LightGBM,42,0.3,167721,139769,0.6659273515586432,0.5933511011362043,0.17141120453854725,0.26598336817946017,0.6249507741152033
loc_repo,"loc,repo",LightGBM,7,1.0,559073,139769,0.6659130422339717,0.5935697199943717,0.1709451929895654,0.2654438484166811,0.6251323112009814
loc_repo,"loc,repo",LightGBM,7,0.3,167721,139769,0.665884423584629,0.5918141592920354,0.17343734170803363,0.2682586690484025,0.6241377749790041
loc_ext,"loc,ext",RandomForest,42,1.0,559073,139769,0.6424886777468537,0.4451785714285714,0.05051159963529531,0.09072877809116549,0.5431792489114846
loc_ext,"loc,ext",RandomForest,42,0.3,167721,139769,0.635398407372164,0.4176162611641515,0.08242326005470571,0.13767429267632328,0.5324182065888441
loc_ext,"loc,ext",RandomForest,7,1.0,559073,139769,0.6429680401233464,0.4495666605200074,0.0493972241920778,0.08901383767205812,0.5433566356363179
loc_ext,"loc,ext",RandomForest,7,0.3,167721,139769,0.6356631298785854,0.4162035057716973,0.07889778137979941,0.13264975898894585,0.5300442576088444
loc_ext,"loc,ext",LightGBM,42,1.0,559073,139769,0.6468816404209803,0.0,0.0,0.0,0.5476253394046993
loc_ext,"loc,ext",LightGBM,42,0.3,167721,139769,0.6468816404209803,0.0,0.0,0.0,0.5459501991152498
loc_ext,"loc,ext",LightGBM,7,1.0,559073,139769,0.6468816404209803,0.0,0.0,0.0,0.5469647962554859
loc_ext,"loc,ext",LightGBM,7,0.3,167721,139769,0.6468816404209803,0.0,0.0,0.0,0.5433337921240766
loc_repo_ext,"loc,repo,ext",RandomForest,42,1.0,559073,139769,0.6548447796006267,0.5225513636179439,0.261270388005268,0.34836287011022266,0.6143569785315849
loc_repo_ext,"loc,repo,ext",RandomForest,42,0.3,167721,139769,0.6352052314890999,0.47244360394434687,0.28345659001114376,0.3543252244608508,0.5891945114697317
loc_repo_ext,"loc,repo,ext",RandomForest,7,1.0,559073,139769,0.6544870464838412,0.5214046957432242,0.26232397933340085,0.3490415981452026,0.6145043418359944
loc_repo_ext,"loc,repo,ext",RandomForest,7,0.3,167721,139769,0.6371942276184276,0.47691783157176953,0.28341606726775403,0.3555442587532567,0.5884500285281431
loc_repo_ext,"loc,repo,ext",LightGBM,42,1.0,559073,139769,0.6657556396625861,0.5926524304579939,0.1709451929895654,0.2653520152222799,0.6253450126894868
loc_repo_ext,"loc,repo,ext",LightGBM,42,0.3,167721,139769,0.6659273515586432,0.5933511011362043,0.17141120453854725,0.26598336817946017,0.6249507741152033
loc_repo_ext,"loc,repo,ext",LightGBM,7,1.0,559073,139769,0.6659130422339717,0.5935697199943717,0.1709451929895654,0.2654438484166811,0.6251323112009814
loc_repo_ext,"loc,repo,ext",LightGBM,7,0.3,167721,139769,0.665884423584629,0.5918141592920354,0.17343734170803363,0.2682586690484025,0.6241377749790041
